author,year,title,journal,abstract
褚杉尔 and 陈清源,2026,环境法治强化与上市工业企业绿色转型——基于环保法庭设立与大语言模型测度的证据.,技术经济 45(3): 137-154,社会各界关于工业企业绿色转型的重要性已基本达成共识，使用环保法庭设立这一准自然实验考查环境法治强化如何破解工业企业绿色转型难题。然而，当前企业绿色转型的测度存在以下问题：一是代理变量与综合指标法覆盖范围有限，无法全面反映企业的绿色转型；二是当前文本分析方法依赖预设词典，难以捕捉复杂语义。基于此，创新性地运用大语言模型分析年报文本来构造企业绿色转型指标，并基于2004—2023年中国上市工业企业数据，选取环保法庭设立这一准自然实验来考查环境法治强化如何破解上市工业企业绿色转型难题。基于多期DID法分析发现，环保法庭设立显著促进了企业的绿色转型，且对国有企业、大规模企业和位于非长江经济带及低法治水平地区的企业的影响更加显著。机制分析表明，环保法庭的设立通过外部监督渠道与内部治理渠道推动企业绿色转型。拓展性分析发现，环保法庭的设立有助于减少企业污染排放，且企业绿色转型进一步降低了其面临的市场特殊风险。研究结论不仅为加强环境法治建设提供了理论支撑，也为实现工业企业绿色转型发展提供新路径。
"褚文博, et al",2024,面向自动驾驶的大模型高效压缩技术：综述.,机械工程学报 60(22): 224-240,"随着自动驾驶系统(Autonomous driving systems, ADS)在全球范围内的快速发展和广泛应用，大模型在自动驾驶技术中扮演着关键角色。这些模型通过整合多传感器数据，实现对复杂驾驶环境的快速准确理解和决策。然而，大模型面临超大规模参数、高计算成本和大存储需求等挑战，尤其在资源有限的车端设备上更为突出。有效压缩大模型成为当前研究的重要方向，可以降低大模型的计算和存储需求的同时保持性能。首先深入探讨了大模型技术的最新进展和应用实践，从而衍生出高效压缩技术。然后从剪枝、神经网络架构搜索、低秩分解、量化和知识蒸馏等角度出发，分析各种压缩技术的原理和性能特征。最后，基于现有研究，提出大模型高效压缩技术未来的挑战和发展方向，旨在为自动驾驶技术提供新思路和解决方案，推动系统向更高效、更智能、更安全的方向发展。"
丛立先 and 李泳霖,2024,人工智能文生视频大模型的作品风险、著作权归属及有效治理.,新疆师范大学学报(哲学社会科学版) 45(6): 101-111,以Sora为代表的文生视频大模型的出现，赋予作品风险、著作权归属和著作权风险治理新的讨论意蕴。笔者认为文生视频大模型作为人类精神产品创作的工具，其生成的内容构成作品。基于文生视频大模型的技术特点，其引发的作品风险不能一概而论，应基于对作品的不同使用行为加以识别和判断。在著作权归属领域，应坚持视听作品的私权属性，在秉持以意思自治约定归属优先的同时，在个案中结合实质贡献、投资激励和利益平衡原则确定著作权归属。在著作权风险治理领域，应通过著作权规则完善、著作权审判指导、著作权执法监管和大模型行业自治，共同作用于文生视频大模型的合规、高效与可持续发展。
"丛培壮, et al",2026,大语言模型低比特量化的历史、现状和未来：以复域量化为例.,计算机研究与发展 63(2): 276-293,"随着大语言模型（large language model,LLM）参数规模的指数级增长，模型部署和推理面临着严峻的内存和计算资源挑战。量化技术作为模型压缩的核心方法，通过降低权重和激活值的数值精度，显著减少了模型的存储需求和计算开销。首先回顾了量化技术的发展历程，从经典的Int8/4量化方法到前沿的超低比特量化算法，总结了典型方法的技术特征与性能演进规律，指出传统实数域量化在极低比特条件下存在受限于离散化误差的挑战，难以突破性能上限。为此，进而系统性地梳理了复域量化系列工作。该系列工作提出了基于复数域的量化范式，通过在参数表示中引入幅度与相位2个自由度，显著扩展了模型的表达空间；此外，类比信号处理中通过将时域信号进行傅里叶变换与低通滤波实现稳定表示的经典范式，进一步提出了由实数模型经复域变换与复域量化，达成了无乘法稳定推理的技术路线。实验结果表明，该方案在多个基准数据集上优于现有超低比特量化方法，有效突破了实数域模型的性能天花板，展现出复域量化在高效建模与性能保持方面的潜在价值。总体而言，通过对量化技术演进及复域量化系列研究的系统分析，旨在揭示超低比特量化的发展规律与未来趋势，为高效大模型的理论研究与工程实现提供参考。"
"丛挺, et al",2026,“人工智能+”时代出版企业创新风险分析——基于大模型与专家对比视角.,中国编辑(3): 25-34,人工智能重塑出版流程的同时，也引发了多重风险，风险评估成为企业创新的关键。研究构建包含内容策划、编辑制作、发行营销、用户服务4个维度及8项指标的评估体系，采用层次分析法与模糊综合评价法，结合10位专家评估与DeepSeek-R1大模型进行人机协同风险分析。结果显示AI评估侧重数据安全风险，专家更关注版权归属与内容质量风险，双方对整体较高风险态势形成共识。出版业AI创新的核心矛盾体现为技术黑箱与内容价值敏感性的冲突，需构建“人工主导+AI辅助”决策机制，建立涵盖版权审查、人机协同流程优化及动态合规管理的全链条风控体系，实现技术创新与风险控制的动态平衡。
"丛颖男, et al",2025,基于大语言模型的刑事案件智能判决研究.,计算机科学 52(5): 248-259,"刑事案件判决的智能化一直是数字法院建设中的研究热点。传统方法基于自然语言处理技术，由模型依据案件事实直接预测判决结果，但应对复杂刑事案件案情时，模型难以发现法律要件之间的逻辑依赖关系，也难以清晰表达法律推理过程。文中提出一种基于大语言模型的刑事案件智能判决方法，该方法以“标记案件语料-预训练大模型-强化判决逻辑”为思路，首先通过自动化标注与人工校正相结合的方式，标注案情中的主体、客体、主观要件和客观要件等法律要素，构建结构化的推理数据集；其次基于GLM预训练框架，选取ChatGLM3-6b-32k作为基座大语言模型进行增量预训练；最后采用LoRA参数高效微调策略与大模型检索增强技术对模型进行参数调优与法律知识扩展，实现判决逻辑的强化。实验结果表明，与Qwen-7B-Chat和Baichuan2-7B-Chat相比，ChatGLM3-6b-32k模型在指令监督微调后性能更优。引入司法三段论显著增强了判决文本的逻辑性，使其更贴近人类法官的裁判说理。在罪名预测和刑期预测任务中，所提模型准确率相较于MTL-Fusion, Lawformer和BERT模型均有显著提升。此外，与基于欧美法律文本训练的Legal-BERT和CaseLawBERT相比，所提模型更适应中国刑事案件的判决逻辑，在处理长文本任务上展现出更强的能力。该研究不仅探索了大语言模型在刑事案件智能判决中的应用，还为司法领域大模型研究的范式提供了有益参考。"
"崔芳芳, et al",2025,医疗人工智能临床应用的伦理思考.,中国医学伦理学 38(2): 159-165,医疗人工智能是机器学习、计算机视觉、自然语言处理等技术与临床医疗结合形成的一类新型应用，随着相关技术不断迭代、发展，医疗人工智能在提高诊疗效率、服务质量方面展现出巨大潜力，但同时也增加了引发伦理问题的可能性。分析了医疗人工智能临床应用可能导致的伦理问题，包括医疗人工智能的算法可解释性和透明度不足，导致信息不对称和认知差异；医疗数据的安全性和隐私保护状况堪忧；由于医疗人工智能在临床应用中的多主体协同参与，责任划分复杂、不明确，导致医疗事故鉴定和责任厘清的难度增加等，提出应遵循的不伤害患者利益原则、医生主体原则、公正包容原则和快速响应原则，并从多个角度探讨了应对医疗人工智能伦理问题的策略及实现路径，包括规范环境与流程、明确责任归属，持续进行数据保护影响评估、保障数据安全性，确保模型透明与可解释性、开展多主体协作，以及以伦理价值为驱动、坚持“以人的健康为中心”的原则等，旨在为医疗人工智能的健康发展提供指导，确保技术进步同时，能够有效管理和缓解伴随的伦理风险，从而推动医疗人工智能技术的良性发展，更好地服务于医患双方。
,,面向配网调度故障研判的多模态多智能体可信业务协同机制.,"崔豪驿, et al.  计算机集成制造系统: 1-20",大规模配网调度故障研判场景覆盖海量跨域、多模态监测数据，并需要支持对不同故障的多样化研判流程，传统人工研判成本高、效率低。人工智能技术的发展使大模型与智能体在配网调度中得到广泛应用，但仍然难以同时应对实时多模态数据、跨域安全可信、研判流程多变及推理准确率的需求。本文探究了大模型构成多智能体、小模型支撑垂直领域推理的大小模型协作模式在配网调度场景的可行性，设计了多模态智能体高效协作模型，以及对应的业务流程动态建模优化机制，将协作模型、研判任务流程融合映射为支持动态调整的业务流程。另外，基于模型上下文协议和区块链设计了创新性的去中心化多模态智能体可信交互框架，并部署基于智能合约的业务流程引擎，确保配网调度故障研判业务流程的推理过程和结果的安全性、可信性、准确性。本文通过实验证明了研究成果在准确率、去中心化执行效率和存储性能上均能够支撑配网调度场景下的故障研判业务需求.
崔鸿飞,2025,大模型语义嵌入技术辅助的科研实体标注质量提升研究.,图书情报工作 69(22): 96-110,[目的/意义]科研实体的精准标注是构建高质量学术社交网络的基础。当前主流开放知识图谱（如AMinerOAG）虽具较高实体覆盖率，但存在作者与机构过度合并的问题，影响分析精度。提升科研实体标注的细粒度与准确性，有助于为学者合作模式分析、学科演化路径追踪以及科研趋势识别等应用提供更可靠的数据支撑，具有重要的理论与实践意义。[方法/过程]提出融合大语言模型语义嵌入与学术社交关系分析的实体拆分框架。该框架包括语义嵌入、机构拆分和作者拆分三个模块：语义嵌入模块基于嵌入式大模型，对百万级机构署名变种和千万级科研关键词进行语义向量化表示；机构拆分模块基于语义相似性聚类机构署名，生成细化的机构二级标注实体；作者拆分模块引入多维学术社交关系(包括同机构、同名合作者及关键词领域重叠等)，构建署名网络、识别作者实体。本文将上述方法应用于DBLP-Citation-network数据集，将10794个内部异质性过高的OAG机构实体细化为56527个院系、研究所等二级注释实体，同时将2794014个OAG作者合理拆分为3706896个作者实体。[结果/结论]本文提出的研究方法可以在提升注释精细度的同时，保持良好的实体间异质性。该方法在更换嵌入模型时具备较强的鲁棒性，便于研究者根据具体需求灵活选取模型。研究结果验证了嵌入式大语言模型在科研实体消歧任务中的应用潜力，并为后续的学术社交网络分析与推荐系统构建研究提供了更高质量的数据基础。
崔鸿飞 and 王梓洁,2026,大模型辅助的多源文献知识图谱高质量构建、注释与应用研究.,图书情报工作 70(7): 101-117,[目的/意义]针对单一数据源难以同时满足高文献覆盖度、高实体消歧质量与高数据时效性的瓶颈，构建满足更全面需求的高质量学术知识图谱，提升文献计量学分析与学术社交网络研究的可靠性。[方法/过程]提出一种大模型辅助的多源文献融合知识图谱构建框架，整合Scopus、Web of Science、Pub Med与Open Alex四个主流数据库的优势。框架分为多源文献融合、机构作者实体消歧两大模块，发挥大模型技术零训练样本的优势，保证知识图谱的高质量构建。[结果/结论 ]以肺炎研究领域为例，构建涵盖约225万篇文献的多源融合学术知识图谱，实现百万量级机构署名与千万量级作者发文记录的有效消歧与注释。相较于单一数据源，融合后的知识图谱在确保低冗余率与低误合并率的前提下，显著提高文献覆盖度、元数据完整性和实体注释的精度与召回率，且弥补各数据源在机构与作者注释方面的不足。该融合图谱可以通过反向修订源数据，有效提升VOSviewer、Cite Space等经典文献计量工具在作者和机构网络分析中的准确性，并支持创新文献计量方法的探索，展示出显著的应用价值。而提出的数据融合框架也为各学科领域构建高质量学术知识图谱提供可行路径与实践参考。
崔建西 and 陈澔文,2025,思政大模型：生成逻辑、内核要义与实践运用.,思想理论教育(6): 86-91,思政大模型是基于思想政治教育大数据、适切算法和强大算力生成的具备思想政治教育性能的专属大模型，本质上是一种服务于思想政治教育的智能工具，将人在思想政治教育领域的智能延展到人工智能领域，具有意识形态性、类人智慧性、专业智能工具性和学习进阶性的特征，也具有模型化的数据整合功能、高智性的连续对话功能和智能化的技能赋值功能。基于此，思政大模型可以在融通思想政治教育数据资源、革新思想政治教育交互范式以及创新思想政治教育施教方法中推进思想政治教育的数智化变革。
"崔孟娇, et al",2024,面向威胁情报的大语言模型技术应用综述.,信息安全学报 9(5): 1-25,"随着计算机与网络技术的不断发展,网络空间面临着日益复杂的安全威胁。为了有效防御网络攻击,网络威胁情报应运而生。然而当前网络威胁如零日漏洞、高级可持续性威胁(Advanced Persistent Threat, APT)等,具有形式复杂、针对性强、危害性高、隐蔽性强,时间跨度长等特征,传统的威胁情报技术难以有效应对。近年来,大语言模型(LargeLanguageModels,LLM)的兴起不仅降低了攻击成本,还促进了网络攻击技术的普及化。因此,本文旨在通过探讨大语言模型在威胁情报领域的技术应用现状,利用大语言模型的潜能提高对威胁情报聚合,分析及应用的能力,从而更为精准地识别、分析和应对网络威胁。本文首先概述了网络威胁情报背景知识,接着介绍大语言模型的概念、发展历程和研究现状,以发掘大语言模型在威胁情报领域应用的可能。然后深入分析了威胁情报与大语言模型结合的相关文献,围绕威胁情报生命周期系统地梳理了大语言模型在增强威胁情报聚合、驱动威胁情报分析以及赋能威胁情报应用方面的成果,并从技术应用场景和主要方法等角度对其进行分类归纳。此外,针对这三个方面分别总结了研究现状、技术特点和潜在发展方向。最后本文讨论了大语言模型应用于威胁情报和网络安全领域所面临的挑战,并给出了未来研究方向,进一步推动网络威胁情报的发展。"
崔希亮 and 赵霞,2024,AI大语言模型背景下的修辞学研究.,当代修辞学(3): 24-36,本文旨在探讨人工智能背景下当代修辞学的发展及其面临的挑战。文章首先简要介绍大语言模型发展的过程，回顾西方修辞学和中国修辞学的传统理论框架，指出在大语言模型背景下当代修辞学研究的重新定位，内容包括：修辞学的本体研究、学科融合、情感转向、数字化、认知研究、生态转向。然后从语言理解和生成的角度对五家大语言模型进行了测试。文章发现大语言模型已经具备了一般的语言修辞能力，但是在理解复杂语义关系方面还存在一定的局限性。大语言模型的修辞理解和修辞生成能力给我们的启发是人工智能为修辞学带来了新的研究路径和变革的可能性。最后，文章展望了人工智能与修辞学未来的发展趋势，指出了人工智能大语言模型对修辞学研究可能带来的影响。
"崔星, et al",2026,基于代码感知与双阶段优化融合的README生成大语言模型框架.,计算机研究与发展 63(4): 918-942,随着开源软件生态的蓬勃发展，使用开源已成为当前开发的主流模式。其中，README是理解、复用开源软件的关键要素。然而，部分开源软件存在README文件缺失、信息不全以及结构不清晰等不规范问题，导致开发者难以理解和使用，降低开发效率。研究人员提出了多种README自动生成、补全方法，但这些方法仍然面临跨语言适用性不足、忽视代码结构信息、生成结果存在幻觉和主观性等挑战。因此，提出结合大语言模型与代码结构建模的双阶段README自动生成框架RMancer。第1个阶段中，RMancer设计了基于提示引导的结构化信息抽取方法，结合静态分析生成高质量训练数据，提升模型对文件级功能摘要、依赖关系和主程序入口等结构要素的感知能力。第2个阶段设计了基于调用图的拓扑排序策略，重构模块间的执行逻辑顺序，以构建结构化文档生成的上下文信息；同时，引入多任务监督机制，引导大模型联合学习文档段落结构与内容生成，提升输出文本的逻辑一致性与客观性；最后，RMancer通过标准化约束策略对生成结果进行格式规整与内容审校，确保文档的规范性与准确性。在包含16 692个开源软件的测试集中，RMancer在信息抽取与README生成2个子任务上均显著优于现有方法，具体而言，在信息抽取任务中，其在calls、entry和description字段的F1-score相较最佳基线模型平均提升2.34%；在文档生成任务中，BLEU、METEOR和ROUGE-L三项指标相较最佳基线模型平均提升幅度为1.37%。此外，RMancer在AlignScore和G-Eval两种自动评估指标上表现最佳。同时，在内容客观性与冗余控制等关键维度上，RMancer仍保持领先表现，进一步验证了其结构感知与多任务优化策略的有效性。
"笪倩, et al",2025,大模型时代下的病理人工智能进展与挑战.,中华病理学杂志 54(3): 305-309,"病理大模型通过大模型微调实现特定下游任务, 适应病理领域多样需求, 为病理人工智能(artificial intelligence)高质量发展提供契机。本文结合病理人工智能的研发实践, 梳理国外病理大模型的研究进展, 剖析病理领域大模型构建的关键技术与核心算法, 探讨大模型在医疗、教学及科研方向的潜在价值, 归纳总结实际应用过程中所遭遇的挑战以及改进的方向。本文旨在帮助病理医师更好地理解病理大模型在病理领域的应用前景, 推动人工智能技术安全且高效地演进, 携手共同助力病理大模型的创新发展。"
代江龙 and 何若楠,2025,大模型训练数据版权侵权风险规制.,数字图书馆论坛 21(9): 74-81,人工智能产业的快速发展让全球大模型竞争更趋白热化，成为产业发展的前沿阵地。大模型训练对大规模高质量数据的利用带来一系列版权侵权挑战。立足大模型训练数据获取与利用的不同阶段，结合比较法视野下美德中等国在法律制度与司法实践中的差异化立场，提出训练数据版权侵权风险的分层规制体系。研究认为，在训练数据集获取阶段，需要深入审视对机器学习需要的复制行为在著作权法上的评价，从数据资源合法性来源、数据副本单一性要求、数据训练唯一性目的等方面，规避可能存在的版权风险。在训练数据集利用阶段，对于生成式人工智能大模型，要符合非表达性使用要求，必须将数据输入端与输出端相结合，严控输出端表达的实质性相似可能，以排除版权侵权风险；对于非生成式人工智能大模型，则可考虑直接纳入合理使用范畴，排除侵权风险。著作权法上的合理使用制度当前仍然是训练数据获取与利用合法性的重要出口，需要进行准确的体系化定位，在个案中逐步形成适用边界。
"戴岭, et al",2023,智慧问学:基于ChatGPT的对话式学习新模式.,开放教育研究 29(6): 42-51+111,ChatGPT的发展引发教育领域新的对话革命。作为一种具有丰富内涵的学习范式，对话式学习历经教学对话、对话式教学等阶段，正朝智慧问学的新阶段发展。智慧问学作为对话式学习的高阶形态，是学习者基于ChatGPT等新一代人工智能，通过主动提问寻求大语言模型回应，实现递进式问答对话与迭代式内容生成的新型学习模式。文章深入探讨了基于ChatGPT的智慧问学模式，剖析了平等性、开放性、建构性、角色互惠的理念原则，提出了“5W”模式的提问策略，并基于“认知需求—问题开放程度”设计了四类问题，形成螺旋递进的问学流程和五种对话类型。最后，文章建议以“尊德性”为价值导向，用实践智慧引领对话智慧；以“问学”设计为逻辑起点，培育高阶思维能力；以“会评”为核心要素，提升学习者再反馈素养。
单彤文,2024,中国海油人工智能发展探索与实践.,中国海上油气 36(6): 177-185,人工智能(AI)是推动油气行业数字化转型、提高竞争力和实现可持续发展的重要驱动力。分析了目前油气行业人工智能面临的技术、管理层面的问题，阐述了中国海油人工智能发展策略，介绍了中国海油人工智能试点应用情况，提出了人工智能在油气勘探开发领域的发展建议。技术层面，目前油气行业中应用的人工智能模型大多较为单一，这导致预测精度不高；在油气数据分析中过拟合，并且迁移学习能力不足；不能满足高计算资源、数据处理复杂性、实时性等需求。管理层面，数据不完整、质量差导致与智能应用融合不足；算力、平台建设统筹不足，现有算力和平台架构对新技术支撑能力不足；场景价值不高、算法精度不满足需求。为应对这些问题，中国海油提出建立人工智能模型底座“海能”人工智能模型、全面进行数据治理、构建统一的人工智能算法模型平台、算力资源的统筹管理、构建一体化的场景规划体系的策略，并在勘探开发研究与分析、安全监测与异常行为预警、生产与设备设施预防性维护以及经营管理智能化等方面进行了AI试点应用，取得了显著成效。建议未来AI在海油及油气行业应用时，应以实际应用落地为价值导向，进行基于场景驱动的AI深度融合，推动数据共享与跨行业合作。
党军 and 杨明玮,2025,人工智能大模型驱动银行业变革：协同机制、风险规制与未来生态趋势.,西南金融(9): 68-81,人工智能大模型正深刻重塑银行业态，在技术革命、政策导向与产业资源叠加驱动下，银行业加速拥抱生成式AI，但头部银行与中小银行呈现显著分化，暴露出技术与场景适配失衡、资源禀赋差异引发的内部矛盾等问题。文章深入分析银行业AI大模型布局的四类策略：国有大行凭借高资源禀赋自主研发，掌控核心技术；股份制银行借力基础模型优化场景适配；中小银行灵活接入第三方服务降低成本；部分银行通过生态协同整合资源。文章从价值创造、传递、保障视角阐述大模型在产品创新、流程优化、定制服务、风险防控等场景中的应用；同时，构建数据、系统、技术、知识的协同机制，提出差异化风险规制策略，预判未来将向情境化服务、动态监管、人机协同决策、数据资产交易等生态方向演进，为银行业数字化转型提供理论与实践参考，呼应金融服务实体经济的时代要求。
"邓呈泽, et al",2026,面向火炮模拟器人机交互的大模型长时记忆机制.,火力与指挥控制 51(1): 133-141+147,针对火炮模拟训练系统传统人机交互训练数据利用率低及训练过程交互程度有限的问题，提出构建一个基于大模型的人机交互应用系统，构建存储火炮领域专业知识及历史问答信息的向量数据库，通过Langchain实现大模型与向量数据库的链接，改进文本处理算法，提高对专业术语的识别能力和分词效果。实验表明，系统具备长时记忆能力，能够实现领域专业问答，交互效率和训练数据利用效率有明显提高。
邓佳文 and 任福继,2024,2023年生成式AI大模型发展热点回眸.,科技导报 42(1): 266-285,2023年，生成式大模型技术发展迅速，取得了一系列突破性的进展。回顾了2023年备受关注的大模型关键技术，包括大模型的能力涌现、多模态大语言模型的发展，以及大模型对齐和知识增强技术。介绍了大模型技术在医疗、教育等领域的垂直应用，以及对AI智能体与元宇宙技术发展的促进作用。此外，从数据隐私、有偏价值观、版权争议及虚假新闻传播等方面讨论了生成式大模型技术面临的安全挑战和发展趋势。
邓建鹏 and 赵治松,2025,DeepSeek的破局与变局：论生成式人工智能的监管方向.,新疆师范大学学报(哲学社会科学版) 46(4): 99-108,生成式人工智能的快速发展使DeepSeek的问世与开源备受关注。DeepSeek凭借对算法模式、知识蒸馏以及思维链技术的破局，实现了低成本训练与高效输出。技术的变革对生成式人工智能的监管具有两面性：一方面，思维链和模型开源缓解了“算法黑箱”困境，为监管审查提供便利；另一方面，对隐私保护和数据合规、知识产权、“幻觉问题”以及模型安全性隐患等带来新挑战。DeepSeek的爆火再度说明，生成式人工智能的监管应面向未来，将隐私保护与数据安全、技术创新与保护平衡、模型提示与反馈机制、模型安全性作为监管重点，避免技术滥用与恶意攻击，保障并促进生成式人工智能安全、良性发展。
邓水光,2025,大模型赋能哲学社会科学研究：范式与路径初探.,浙江社会科学(9): 4-13+155,大模型开启了人工智能发展的新阶段，人工智能赋能科学研究（AI for Science）正成为全新的科学研究范式，体现出跨学科融合、人机协同共创等新特点。当前，大模型如何赋能哲学社会科学研究（AI for Social Science），其范式与路径尚不明确。本文首先回顾了研究范式的演进，并提炼出一种以大模型与研究者协同共创为特征的大模型赋能哲学社会科学研究的新范式。在此基础上，构建了一种以人为中心的“生成—批判—共创”实施路径。最后，本文以大模型助力艺术传承为例，为大模型赋能哲学社会科学研究提供案例参考。
邓香莲 and 步凌霄,2024,技术浪潮中的人文规束：生成式AI背景下出版业角色转变.,中国出版(16): 26-33,面对AI时代的挑战，出版业如何拥抱新技术成为一个问题。AI的出现加剧了数据资源管理和确权的紧迫性，迫使出版业进行变革，行业亟须寻找新的出路。同时，人工智能技术的发展使得数据成为重要资源，也带来了新的伦理隐患，建立“安全、可靠、值得信赖”的人工智能系统需要各行业共同参与。产业转型和技术变革共同要求出版业充分抓住机会，发挥自身优势，承担起新资源的开发者、新技术的参与者和新价值的建构者的角色，为数据资产化管理与运营、专业性大模型开发建设以及社会价值体系重建作出贡献。
,,大模型指令微调驱动的电力故障抢修方案智能生成.,"邓养吾, et al.  计算机集成制造系统: 1-12",针对电力故障抢修方案制定过程中依赖人工经验、效率低下且准确性难以保障的问题，本文提出了一种基于大模型指令微调驱动的智能生成方法。该方法首先构建多源数据融合与预处理框架，对结构化遥测数据和非结构化文本数据进行归一化、语义消歧与跨模态特征对齐，形成统一语义表示；在此基础上，设计融合领域知识的指令模板，并采用双阶段微调策略——通过领域知识预微调注入电力专业术语、物理规律与安全规程，再基于多模态任务指令进行LoRA参数高效微调，结合引入物理约束与安全规则的加权混合损失函数，显著增强模型对故障特征的语义理解与安全合规生成能力。实验结果表明，所提方法在故障类型准确率、关键步骤召回率等多项指标上均优于GPT-3.5、BERT-GRU及基础微调模型，有效降低安全违规次数，生成的抢修方案在文本质量、专业准确性与安全性方面更接近专家水准，为电力系统故障处置的智能化决策提供了可靠支持。
"邓永恒, et al",2025,迈向泛在智能：端侧大语言模型现状与展望.,中国科学基金 39(2): 263-273,近年来，大语言模型技术在多个领域取得了突破性进展，为实现泛在智能提供了坚实的基础。然而，泛在智能要求在各种场景中实现无缝的智能体验，这对大语言模型的部署和应用提出了新的挑战。云上部署大模型时，面临实时性、安全性和个性化需求难以兼顾的问题，限制了其在不同环境中的适用性。这些挑战促使研究者探索端侧部署大语言模型的前景，以期在更接近数据源的位置实现更高效的智能服务。然而，端侧的资源限制为大语言模型的部署、推理与应用带来了严峻的挑战。本文首先探讨了这些挑战，并系统梳理了端侧大模型部署与推理应用的关键技术进展，包括模型压缩、运行时优化和端边云协同等方面的前沿研究，并深入分析了相关技术在实际应用中的优势与局限性。最后，本文对大语言模型实现泛在智能的未来发展方向进行了展望，包括模型轻量化、新型计算架构支持、隐私保护技术创新以及端边大小模型协同优化等技术，力求推动大语言模型在端侧的高效落地与应用。
"邓志豪, et al",2025,人工智能大语言模型在健康体检主检报告撰写中的应用.,中华健康管理学杂志 19(9): 739-745,"随着人工智能的迅猛发展, 大语言模型(简称大模型)技术在健康体检主检报告撰写中的作用日益提升。笔者通过训练大模型学习脱敏体检数据和临床指南, 开发了能自动提取异常指标、生成标准化结论和个性化建议的智能主检系统。以中南大学湘雅三医院健康管理医学中心≥55岁的VIP客户体检报告为样本进行对比测试, 结果显示大模型系统使医师修改次数减少87.36%, 全面报告审核时间从13.6 min缩短至5.9 min, 复查报告审核时间从3.5 min降至1.7 min, 效率提升显著(均P0.001)。该系统有效减轻了医师工作负担, 提高了报告质量, 但最终审核仍需医师把关。未来将重点优化系统对复杂案例的处理能力, 推动其在健康管理中的广泛应用。"
"翟恩南, et al",2024,面向大模型时代的网络基础设施研究：挑战、阶段成果与展望.,计算机研究与发展 61(11): 2664-2677,"拥有千亿级别参数的大语言模型（large language model,LLM）已为今天的人工智能和云服务带来了巨大的技术和商业变革.然而，大模型训练与传统的通用云计算（例如，亚马逊EC2弹性计算服务）之间存在较多根本性的网络行为差异，从而带来了很多新的挑战，主要包括流量模式差异造成负载难均衡（挑战1）、多训练任务通信竞争影响GPU利用率（挑战2），以及对网络故障的高敏感性（挑战3）等.因此，为通用云计算设计的数据中心网络技术（例如，网络架构、选路方法、流量调度，以及可靠性保障方法等）已不适合今天的大模型训练，这要求专门为大模型训练设计新型的数据中心网络以及配套的技术方案.介绍了阿里云专门为大模型训练设计的数据中心网络HPN以及多任务通信调度方法 Crux解决上述3个挑战. HPN通过引入了一种2层、双平面（dual-plane）的网络架构，不但能够在一个Pod内高速互联15 000个GPU，还能做到适用大模型训练的精准选路（解决挑战1）.此外，HPN提出了一种新型的去堆叠双ToR(top-of-rack)设计来替代传统数据中心网络的单ToR交换机连接方式，根本性地避免了单点失效可靠性风险（部分解决挑战3）.针对挑战2,Crux通过对GPU利用率优化问题的建模与证明，将该NP完全问题近似成GPU强度相关的流量调度问题.随后，Crux提出了一个方法优先处理具有高GPU计算强度的任务流，从而极大降低了多任务的通信竞争，优化了GPU利用率.与相关工作对比，Crux可以将GPU利用率提高多达23个百分点. HPN和Crux均已在阿里云生产环境规模化部署超过8个月，后续会持续演进迭代.在此基础上，进一步展望了大模型训练与推理领域可能的研究方向，为后续工作提供指导性建议."
翟尤 and 李娟,2022,AIGC发展路径思考：大模型工具化普及迎来新机遇.,互联网天地(11): 22-27,当前，AIGC引发社会关注，尤其是大模型和开源模式的推动，让AIGC有望成为AI应用落地的新领域。一方面大模型和开源加速降低AIGC应用门槛并拓展应用范围；另一方面AI与创新的界限进一步模糊，两者融合的趋势愈发明显。本文从AIGC潜在商业模式、知识产权保护、理性看待通用人工智能与技术泡沫、开展技术创新引发的内容安全合规等方面进行论述，并提供可行的意见建议。
丁辰 and 郭瑞昭,2026,专利视域下人工智能关键核心技术识别及国际竞争态势研究.,中国科技论坛(4): 69-80,在新一轮科技革命和产业变革中，人工智能作为引领性技术与战略竞争焦点，正深刻重塑全球创新格局。准确识别人工智能关键核心技术并研判其国际竞争态势，对明确中国产业方位、制定科学发展路径具有重要意义。本研究通过构建“三重漏斗式”筛选模型，基于全球专利数据，系统识别出八大关键核心技术领域，并结合大模型与生成式AI发展的新时代背景，展开国际竞争态势分析。研究发现，全球人工智能竞争呈现“中美双极主导、多国精专协同”的格局。中国在神经网络、模式识别等关键领域已形成“数量主导—质量崛起”的发展态势，专利规模全球领先；美国则在知识表示、推理方法等基础层技术上保持高价值专利优势，在原始创新方面持续引领。面向未来，中国需通过构建分层分类的技术攻坚体系、强化高价值专利培育与国际化布局、深化产学研融合与创新生态建设，推动人工智能产业实现从“规模制胜”到“质量引领”的范式跃迁，增强在全球AI规则制定与技术竞争中的话语权。
